Mes pago tarjeta;Fecha gasto;descripcion;importe;Tarjeta;Cuota;Con cuota;cantidad cuotas;Cierra;Vence;¿ Vencido ?;Agrupado;actual y proximo;Cuota Finalizada;tipo
43617;43615;ALMUERZO;-120;VISA SANTANDER;1;No;1;43615;43626;Vencido;GASTO;No;VERDADERO;REAL
43525;43525;ANA DE STEFANO;-460;VISA SANTANDER;1;Si;3;43524;43535;Vencido;GASTO;No;FALSO;REAL
43556;43556;ANA DE STEFANO;-460;VISA SANTANDER;2;Si;3;43552;43564;Vencido;GASTO;No;FALSO;REAL
43586;43586;ANA DE STEFANO;-460;VISA SANTANDER;3;Si;3;43587;43598;Vencido;GASTO;No;VERDADERO;REAL
43617;43595;BAKERY;-564;VISA SANTANDER;1;Si;2;43615;43626;Vencido;GASTO;No;FALSO;REAL
43647;43623;BAKERY;-511,4;VISA SANTANDER;2;Si;2;43643;43656;Vencido;GASTO;No;VERDADERO;REAL
43617;43601;BALANZA;-138,33;VISA SANTANDER;1;Si;6;43615;43626;Vencido;GASTO;No;FALSO;REAL
43617;43601;BALANZA;-138,33;VISA SANTANDER;2;Si;6;43615;43626;Vencido;GASTO;No;FALSO;REAL
43647;43601;BALANZA;-138,33;VISA SANTANDER;3;Si;6;43643;43656;Vencido;GASTO;No;FALSO;REAL
43678;43601;BALANZA;-138,33;VISA SANTANDER;4;Si;6;43678;43689;Vencido;GASTO;No;FALSO;REAL
43709;43601;BALANZA;-138,33;VISA SANTANDER;5;Si;6;43706;43717;Vencido;GASTO;No;FALSO;REAL
43739;43601;BALANZA;-138,33;VISA SANTANDER;6;Si;6;43734;43745;Vencido;GASTO;No;VERDADERO;REAL
43617;43604;BARRITAS PROTEINAS;-733,33;MERCADO PAGO;1;Si;3;43605;43618;Vencido;GASTO;No;FALSO;REAL
43647;43604;BARRITAS PROTEINAS;-733,33;MERCADO PAGO;2;Si;3;43636;43648;Vencido;GASTO;No;FALSO;REAL
43678;43604;BARRITAS PROTEINAS;-733,33;MERCADO PAGO;3;Si;3;43671;43682;Vencido;GASTO;No;VERDADERO;REAL
43466;43466;BOCA;-340;VISA SANTANDER;1;No;1;43461;43474;Vencido;GASTO;No;VERDADERO;REAL
43497;43497;BOCA;-340;VISA SANTANDER;1;No;1;43496;43507;Vencido;GASTO;No;VERDADERO;REAL
43525;43525;BOCA;-340;VISA SANTANDER;1;No;1;43524;43535;Vencido;GASTO;No;VERDADERO;REAL
43556;43556;BOCA;-340;VISA SANTANDER;1;No;1;43552;43564;Vencido;GASTO;No;VERDADERO;REAL
43586;43586;BOCA;-340;VISA SANTANDER;1;No;1;43587;43598;Vencido;GASTO;No;VERDADERO;REAL
43617;43617;BOCA;-340;VISA SANTANDER;1;No;1;43615;43626;Vencido;GASTO;No;VERDADERO;REAL
43647;43647;BOCA;-340;VISA SANTANDER;1;No;1;43643;43656;Vencido;GASTO;No;VERDADERO;REAL
43678;43678;BOCA;-340;VISA SANTANDER;1;No;1;43678;43689;Vencido;GASTO;No;VERDADERO;REAL
43709;43709;BOCA;-340;VISA SANTANDER;1;No;1;43706;43717;Vencido;GASTO;No;VERDADERO;REAL
43739;43739;BOCA;-400;VISA SANTANDER;1;No;1;43734;43745;Vencido;GASTO;No;VERDADERO;REAL
43770;43770;BOCA;-400;VISA SANTANDER;1;No;1;43769;43780;Vencido;GASTO;No;VERDADERO;REAL
43800;43800;BOCA;-400;VISA SANTANDER;1;No;1;43797;43808;Vencido;GASTO;No;VERDADERO;REAL
43556;43556;BOMBONERIA ROYAL;-511;VISA SANTANDER;1;No;1;43552;43564;Vencido;GASTO;No;VERDADERO;REAL
43556;43574;SUPERMERCADO CHINO;23,31;VISA SANTANDER;1;No;1;43552;43564;Vencido;GASTO;No;VERDADERO;REAL
43647;43634;CARREFOUR;-760;VISA SANTANDER;1;No;1;43643;43656;Vencido;GASTO;No;VERDADERO;REAL
43647;43638;CINE;-485;VISA SANTANDER;1;Si;8;43643;43656;Vencido;GASTO;No;FALSO;REAL
43678;43638;CINE;-530;MERCADO PAGO;2;Si;8;43671;43682;Vencido;GASTO;No;FALSO;REAL
43678;43650;CINE;-231,67;MERCADO PAGO;3;Si;8;43671;43682;Vencido;GASTO;No;FALSO;REAL
